1 35.068676
2 54.619713
3 54.397807
4 53.878160
5 53.936340
6 53.140914
7 54.620164
8 53.574478
9 54.893228
10 53.714661
11 53.769572
12 54.534223
13 53.273427
14 54.443273
15 53.321141
16 54.160398
17 53.239654
18 53.124110
19 53.960297
20 55.560386
21 55.364696
22 53.912978
23 53.006086
24 54.182807
25 54.178069
26 54.982936
27 52.976159
28 53.424563
29 54.370648
30 55.135594
31 54.835107
32 53.610147
33 53.201626
34 54.587659
35 53.669972
36 53.746324
37 55.332492
38 54.224105
39 54.054314
40 55.018958
41 55.023716
42 54.897635
43 54.321603
44 53.204091
45 54.423844
46 52.552716
47 53.810622
48 54.370831
49 53.692824
50 54.537244
51 54.555452
52 54.252443
53 55.156748
54 54.489465
55 51.046468
56 52.470513
57 54.019054
58 54.544590
59 53.148638
60 54.881248
61 53.022199
62 54.808288
63 54.097459
64 54.976161
65 54.749799
66 52.526139
67 53.701863
68 52.677253
69 52.679639
70 50.598518
71 51.682714
72 49.268635
73 53.097153
74 52.804514
75 54.498872
76 55.200090
77 52.619465
78 54.318530
79 55.150299
80 55.286581
81 55.348808
82 55.060397
83 55.390113
84 55.282893
85 55.525633
86 55.056359
87 54.867954
88 53.839290
89 53.882347
90 53.426316
91 53.336223
92 55.040671
93 53.947693
94 53.954727
95 53.681699
96 54.060927
97 54.340662
98 55.080520
99 53.288369
100 53.799146

